21.8,8.242,25.492,0.0,0.0,0.0,0.0,46.7
5.26,2.601,5.821,0.0,0.0,0.8,0.0,12.13
11.2,4.46,10.585,0.0,8.8,0.0,0.0,22.72
7.93,2.659,12.301,4.0,1.6,46.0,0.0,22.36
6.21,2.343,6.75,0.0,4.0,4.0,0.0,12.65
30.3,13.131,32.982,0.0,0.0,0.0,0.0,63.21
38.1,13.582,37.476,2.4,0.0,40.8,0.0,116.9
12.3,4.027,12.2,0.0,0.0,0.8,0.0,27.77
6.14,2.214,4.374,0.0,0.0,0.8,0.0,11.2
10.5,4.578,13.569,1.6,4.0,4.8,3.2,22.7
14.4,8.244,16.734,0.0,0.0,3.2,0.0,48.03
5.82,1.5,7.297,1.6,0.0,0.0,0.0,11.69
8.04,3.257,7.381,0.0,0.0,0.0,0.0,18.14
8.78,2.441,7.248,0.8,2.4,1.6,0.8,15.57
60.1,22.307,34.981,19.2,45.6,19.2,15.2,114.3
6.39,2.109,6.24,0.0,2.4,6.4,4.0,13.33
8.35,3.313,6.97,0.0,0.0,0.8,3.2,18.36
3.52,1.753,3.672,0.0,0.0,0.0,4.8,8.316
57.8,10.534,35.348,8.8,26.4,1.6,1.6,63.44
29.9,6.589,33.954,5.6,0.0,11.2,4.0,52.83
19.4,5.742,33.555,1.6,0.0,20.0,33.6,124.0
21.7,20.256,24.552,0.0,0.0,0.0,0.0,58.84
6.24,2.369,6.333,0.0,0.0,0.0,0.0,14.56
18.0,11.685,27.426,1.6,0.0,10.4,10.4,54.1
11.1,3.326,11.973,0.0,0.0,0.0,0.0,31.47
4.63,1.983,4.1,0.0,0.0,0.8,0.8,9.021
20.2,8.21,19.05,10.4,16.8,22.4,11.6,143.3
25.7,16.141,34.012,46.4,52.8,28.8,20.8,150.4
4.26,2.29,4.218,0.0,0.0,0.8,4.0,10.34
20.3,6.583,18.906,0.0,0.8,3.2,0.0,49.81
10.4,4.191,8.702,0.0,0.0,0.0,8.8,20.73
42.1,13.044,44.007,0.8,0.0,4.0,2.4,74.03
11.1,4.474,11.672,0.0,0.0,3.2,0.0,29.11
7.48,3.127,6.479,0.0,0.0,0.0,0.8,17.7
8.2,2.778,6.341,3.2,1.6,10.4,1.6,60.62
33.8,14.152,34.465,0.0,0.0,0.8,3.2,70.76
17.9,9.445,19.74,0.0,0.0,0.8,0.0,44.81
9.26,9.589,5.906,4.8,24.8,0.8,1.6,20.01
5.0,2.49,4.947,0.0,0.0,0.0,0.0,12.07
48.0,18.587,70.19,6.4,0.0,19.2,26.4,116.4
52.0,8.592,76.35,7.2,14.4,42.4,16.8,111.3
3.47,1.945,5.133,0.0,0.0,0.8,0.0,9.123
11.9,4.817,28.253,32.8,8.8,143.2,1.6,66.89
27.7,14.626,46.76,1.6,0.0,19.2,5.6,82.03
4.1,1.643,3.711,0.0,0.0,0.0,0.0,7.895
3.52,1.423,3.932,0.0,0.0,0.0,0.8,8.661
10.5,3.529,9.936,0.0,0.0,0.0,0.0,22.13
9.55,3.717,6.442,0.8,4.8,0.0,0.8,17.25
6.56,2.384,5.003,0.0,0.0,0.0,0.0,11.54
5.18,1.996,6.194,8.8,21.6,34.4,13.6,12.5
7.82,2.82,15.329,10.4,12.8,54.4,32.8,37.14
36.6,16.894,45.986,1.6,0.0,8.0,5.6,70.19
6.47,2.276,4.547,4.0,6.4,0.0,0.0,12.01
66.3,25.184,48.397,0.0,0.0,0.0,0.0,98.55
3.86,1.569,3.548,0.0,0.0,0.0,0.0,7.297
5.87,2.465,5.511,0.0,0.0,0.0,0.0,13.19
12.3,5.515,10.817,36.8,55.2,0.0,16.0,143.9
25.9,5.233,19.665,0.0,5.6,0.0,0.0,52.67
14.2,6.632,13.431,4.0,2.4,0.0,0.0,35.09
28.6,4.817,26.299,0.0,0.8,0.8,3.2,34.88
25.5,8.393,25.626,16.0,8.0,3.2,4.0,62.7
11.8,3.636,10.047,0.0,0.0,0.0,0.0,23.31
2.53,1.458,2.599,2.4,3.2,16.0,0.0,5.266
21.0,10.935,34.524,0.0,0.0,6.4,5.6,50.23
7.37,2.786,5.854,0.0,0.0,0.0,4.0,14.89
3.39,1.603,3.619,12.8,25.6,0.0,9.6,10.64
5.32,2.598,5.268,0.0,0.0,0.0,0.0,12.84
16.4,4.823,18.456,2.4,0.0,4.8,26.4,37.47
3.51,1.648,3.558,0.0,0.0,50.4,0.0,6.912
12.0,5.187,12.636,0.0,0.0,0.0,0.0,29.67
8.26,3.192,8.291,0.0,0.0,0.0,0.0,18.18
33.8,15.475,42.808,0.8,0.0,8.8,0.8,74.98
3.0,1.412,2.659,0.0,0.0,5.6,0.0,5.732
4.97,2.572,5.363,1.6,3.2,1.6,3.2,11.44
10.5,4.207,11.547,0.0,0.0,0.8,1.6,22.02
14.1,3.551,16.599,17.6,7.2,51.2,0.0,92.73
11.6,3.313,9.14,0.0,4.8,0.8,4.0,22.38
5.6,2.326,5.181,0.0,0.0,0.0,0.0,12.16
7.55,1.999,7.615,2.4,1.6,4.0,1.6,19.35
14.2,9.681,35.408,0.0,15.2,38.4,16.0,79.52
8.05,4.071,7.85,23.2,10.4,15.2,21.6,26.3
8.15,2.727,7.338,3.2,0.0,2.4,0.8,16.41
2.43,1.068,2.537,0.0,0.0,4.0,0.0,4.433
16.0,3.9,18.254,0.0,0.0,0.0,0.0,30.32
26.4,11.958,27.855,0.0,0.0,0.0,0.8,79.76
8.59,2.754,9.709,0.0,0.8,29.6,0.0,20.01
21.6,7.211,27.074,16.0,23.2,29.6,8.0,50.25
22.2,15.284,23.4,0.0,4.0,13.6,0.0,57.25
39.5,6.478,48.004,3.2,0.0,25.6,12.8,149.2
7.89,2.618,7.042,0.0,0.0,3.2,2.4,15.39
13.3,2.928,23.265,1.6,0.0,0.8,0.0,25.53
34.5,7.975,32.605,8.0,4.8,4.8,2.4,87.5
7.65,2.72,5.471,2.4,0.0,12.0,12.8,13.72
6.64,2.652,6.125,0.0,0.0,0.0,0.0,14.36
28.3,5.521,19.24,0.0,2.4,0.0,4.0,38.36
11.1,3.332,11.746,0.0,0.0,0.0,1.6,24.07
11.9,2.44,13.649,0.0,0.0,0.0,0.0,20.0
21.6,10.915,24.583,0.0,0.0,0.0,0.0,51.71
37.7,13.397,30.387,0.0,13.6,0.0,1.6,71.14
