epochs(5 hidden),mse
1000,0.006684527
1500,0.00672776
2000,0.006725596
2500,0.006691282
3000,0.006666419
3500,0.006656085
4000,0.006653645
4500,0.006655608
5000,0.006660674
5500,0.00666846
6000,0.006678753
6500,0.006691104
7000,0.006704922
7500,0.006720452
8000,0.006738737
8500,0.006759255
9000,0.006780982
9500,0.006803833
0,0
